id,polity,region
1,Albania,Europe
2,Argentina,South America
3,Australia,Oceania
4,Austria,Europe
5,Bulgaria,Europe
6,Belarus,Europe
7,Brazil,South America
8,Canada,North America
9,Switzerland,Europe
10,Chile,South America
11,Czech Republic,Europe
12,Germany,Europe
13,Denmark,Europe
14,Spain,Europe
15,Estonia,Europe
16,Finland,Europe
17,France,Europe
18,Great Britain,Europe
19,Greece,Europe
20,Hong Kong,Asia
21,Croatia,Europe
22,Hungary,Europe
23,Ireland,Europe
24,Iceland,Europe
25,Israel,Middle east
26,Italy,Europe
27,Japan,Asia
28,Kenya,Africa
29,Kyrgyzstan,Asia
30,Republic of Korea,Asia
31,Lithuania,Europe
32,Latvia,Europe
33,Mexico,North America
34,Montenegro,Europe
35,Netherlands,Europe
36,Norway,Europe
37,New Zealand,Oceania
38,Peru,South America
39,Philippines,Asia
40,Poland,Europe
41,Portugal,Europe
42,Romania,Europe
43,Russian Federation,Europe
44,Serbia,Europe
45,Slovakia,Europe
46,Slovenia,Europe
47,Sweden,Europe
48,Thailand,Asia
49,Turkey,Middle east
50,Taiwan,Asia
51,Ukraine,Europe
52,Uruguay,Europe
53,United States of America,North America
54,South Africa,Africa
